file,class,,cbo,loc,wmc,,,,,,,,,
C:\oodass1\dubbo\dubbo-metadata\dubbo-metadata-report-nacos\src\test\java\org\apache\dubbo\metadata\store\nacos\RetryTest.java,org.apache.dubbo.metadata.store.nacos.RetryTest$Anonymous3,,1,13,3,,,,,,,,,
C:\oodass1\dubbo\dubbo-plugin\dubbo-rest-spring\src\main\java\org\apache\dubbo\rpc\protocol\tri\rest\support\spring\SpringMiscArgumentResolver.java,org.apache.dubbo.rpc.protocol.tri.rest.support.spring.SpringMiscArgumentResolver,,11,25,7,,,,,,,,,
C:\oodass1\dubbo\dubbo-test\dubbo-test-check\src\main\java\org\apache\dubbo\test\check\registrycenter\Initializer.java,org.apache.dubbo.test.check.registrycenter.Initializer,,1,3,1,,,,,,,,,
C:\oodass1\dubbo\dubbo-common\src\main\java\org\apache\dubbo\common\extension\ExtensionAccessor.java,org.apache.dubbo.common.extension.ExtensionAccessor,,4,37,15,,,,,,,,,
C:\oodass1\dubbo\dubbo-config\dubbo-config-spring\src\test\java\org\apache\dubbo\config\spring\reference\localcalla\LocalCallReferenceAnnotationTest.java,org.apache.dubbo.config.spring.reference.localcalla.LocalCallReferenceAnnotationTest$LocalCallConfiguration,,3,3,0,,,,,,,,,
C:\oodass1\dubbo\dubbo-plugin\dubbo-triple-servlet\src\main\java\org\apache\dubbo\rpc\protocol\tri\rest\support\servlet\DummyServletContext.java,org.apache.dubbo.rpc.protocol.tri.rest.support.servlet.DummyServletContext,,16,190,62,,,,,,,,,
C:\oodass1\dubbo\dubbo-plugin\dubbo-qos\src\main\java\org\apache\dubbo\qos\command\impl\PortTelnet.java,org.apache.dubbo.qos.command.impl.PortTelnet,,8,66,16,,,,,,,,,
C:\oodass1\dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\PojoUtilsForNonPublicStaticTest.java,org.apache.dubbo.common.PojoUtilsForNonPublicStaticTest,,2,18,1,,,,,,,,,
C:\oodass1\dubbo\dubbo-metadata\dubbo-metadata-report-nacos\src\test\java\org\apache\dubbo\metadata\store\nacos\RetryTest.java,org.apache.dubbo.metadata.store.nacos.RetryTest$Anonymous1,,0,5,2,,,,,,,,,
C:\oodass1\dubbo\dubbo-metadata\dubbo-metadata-report-nacos\src\test\java\org\apache\dubbo\metadata\store\nacos\RetryTest.java,org.apache.dubbo.metadata.store.nacos.RetryTest$Anonymous2,,0,5,1,,,,,,,,,
C:\oodass1\dubbo\dubbo-registry\dubbo-registry-zookeeper\src\main\java\org\apache\dubbo\registry\zookeeper\ZookeeperRegistry.java,org.apache.dubbo.registry.zookeeper.ZookeeperRegistry$RegistryChildListenerImpl,,4,20,4,,,,,,,,,
C:\oodass1\dubbo\dubbo-registry\dubbo-registry-api\src\main\java\org\apache\dubbo\registry\client\ServiceDiscoveryRegistryDirectory.java,org.apache.dubbo.registry.client.ServiceDiscoveryRegistryDirectory$ReferenceConfigurationListener,,5,21,4,,,,,,,,,
C:\oodass1\dubbo\dubbo-cluster\src\main\java\org\apache\dubbo\rpc\cluster\directory\AbstractDirectory.java,org.apache.dubbo.rpc.cluster.directory.AbstractDirectory,,19,347,73,,,,,,,,,
C:\oodass1\dubbo\dubbo-remoting\dubbo-remoting-api\src\main\java\org\apache\dubbo\remoting\api\ProtocolDetector.java,org.apache.dubbo.remoting.api.ProtocolDetector$Flag,,0,1,0,,,,,,,,,
C:\oodass1\dubbo\dubbo-spring-boot-project\dubbo-spring-boot\src\main\java\org\apache\dubbo\spring\boot\context\event\AwaitingNonWebApplicationListener.java,org.apache.dubbo.spring.boot.context.event.AwaitingNonWebApplicationListener,,12,125,35,,,,,,,,,
C:\oodass1\dubbo\dubbo-rpc\dubbo-rpc-triple\src\main\java\org\apache\dubbo\rpc\protocol\tri\ServletExchanger.java,org.apache.dubbo.rpc.protocol.tri.ServletExchanger,,2,25,7,,,,,,,,,
C:\oodass1\dubbo\dubbo-cluster\src\main\java\org\apache\dubbo\rpc\cluster\LoadBalance.java,org.apache.dubbo.rpc.cluster.LoadBalance,,6,3,1,,,,,,,,,
C:\oodass1\dubbo\dubbo-rpc\dubbo-rpc-triple\src\main\java\org\apache\dubbo\rpc\protocol\tri\rest\RestInitializeException.java,org.apache.dubbo.rpc.protocol.tri.rest.RestInitializeException,,2,9,2,,,,,,,,,
C:\oodass1\dubbo\dubbo-common\src\main\java\org\apache\dubbo\common\url\component\param\DefaultDynamicParamSource.java,org.apache.dubbo.common.url.component.param.DefaultDynamicParamSource,,4,30,1,,,,,,,,,
C:\oodass1\dubbo\dubbo-plugin\dubbo-filter-cache\src\main\java\org\apache\dubbo\cache\support\expiring\ExpiringMap.java,org.apache.dubbo.cache.support.expiring.ExpiringMap$ExpiryObject,,2,37,10,,,,,,,,,
C:\oodass1\dubbo\dubbo-registry\dubbo-registry-api\src\test\java\org\apache\dubbo\registry\MockLogger.java,org.apache.dubbo.registry.MockLogger,,1,67,28,,,,,,,,,
C:\oodass1\dubbo\dubbo-configcenter\dubbo-configcenter-nacos\src\test\java\org\apache\dubbo\configcenter\support\nacos\RetryTest.java,org.apache.dubbo.configcenter.support.nacos.RetryTest$Anonymous3,,1,13,3,,,,,,,,,
