file,class,,cbo,loc,wmc,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\bazel\BazelBuiltinCommandModule.java,com.google.devtools.build.lib.bazel.BazelBuiltinCommandModule,,2,5,1,,,,,,,,,
C:\oodass1\projects\bazel\src\test\java\net\starlark\java\annot\processor\testsources\SelfCallWithStructField.java,net.starlark.java.annot.processor.testsources.SelfCallWithStructField,,2,5,1,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\concurrent\AddressFreer.java,com.google.devtools.build.lib.concurrent.AddressFreer,,0,9,2,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\sandbox\WindowsSandboxedSpawn.java,com.google.devtools.build.lib.sandbox.WindowsSandboxedSpawn,,5,36,10,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\skyframe\FilesystemValueChecker.java,com.google.devtools.build.lib.skyframe.FilesystemValueChecker$WalkableGraphBackedValueFetcher,,5,9,2,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\bazel\commands\FetchCommand.java,com.google.devtools.build.lib.bazel.commands.FetchCommand,,22,90,22,,,,,,,,,
C:\oodass1\projects\bazel\third_party\ijar\test\A.java,A,,2,26,4,,,,,,,,,
C:\oodass1\projects\bazel\third_party\ijar\test\B.java,B,,6,21,5,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\skyframe\SkyframeAnalysisResult.java,com.google.devtools.build.lib.skyframe.SkyframeAnalysisResult,,10,47,10,,,,,,,,,
C:\oodass1\projects\bazel\src\test\java\com\google\devtools\build\skyframe\StateMachineTest.java,com.google.devtools.build.skyframe.StateMachineTest$StringOrException2ProducerWithSingleLookup,,7,25,6,,,,,,,,,
C:\oodass1\projects\bazel\third_party\java\proguard\proguard6.2.2\src\proguard\classfile\editor\ClassEditor.java,proguard.classfile.editor.ClassEditor,,8,97,22,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\skyframe\ExternalFilesHelper.java,com.google.devtools.build.lib.skyframe.ExternalFilesHelper$FileType,,0,6,0,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\cmdline\ParallelVisitor.java,com.google.devtools.build.lib.cmdline.ParallelVisitor$Visit,,2,8,1,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\rules\config\FeatureFlagValue.java,com.google.devtools.build.lib.rules.config.DefaultValue,,0,4,1,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\skyframe\serialization\SharedValueSerializationContext.java,com.google.devtools.build.lib.skyframe.serialization.SharedValueSerializationContext$SharedValueSerializationContextImpl,,8,11,3,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\bazel\repository\decompressor\PatchUtil.java,com.google.devtools.build.lib.bazel.repository.decompressor.PatchUtil,,10,420,130,,,,,,,,,
C:\oodass1\projects\bazel\third_party\java\proguard\proguard6.2.2\src\proguard\classfile\attribute\visitor\BootstrapMethodInfoVisitor.java,proguard.classfile.attribute.visitor.BootstrapMethodInfoVisitor,,2,3,1,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\actions\TestExecException.java,com.google.devtools.build.lib.actions.TestExecException,,2,10,2,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\rules\cpp\CppConfiguration.java,com.google.devtools.build.lib.rules.cpp.CppConfiguration$HeadersCheckingMode,,1,12,4,,,,,,,,,
