file,class,type,cbo,loc,wmc
C:\oodass1\projects\fresco\drawee\src\main\java\com\facebook\drawee\generic\RootDrawable.java,com.facebook.drawee.generic.RootDrawable,class,9,39,11
C:\oodass1\projects\fresco\drawee-backends\drawee-pipeline\src\main\java\com\facebook\drawee\backends\pipeline\info\internal\ImagePerfRequestListener.java,com.facebook.drawee.backends.pipeline.info.internal.ImagePerfRequestListener,class,5,31,5
C:\oodass1\projects\fresco\imagepipeline\src\main\java\com\facebook\imagepipeline\cache\CacheKeyFactory.java,com.facebook.imagepipeline.cache.CacheKeyFactory,interface,4,6,4
C:\oodass1\projects\fresco\imagepipeline\src\test\java\com\facebook\imagepipeline\memory\CloseableReferences.java,com.facebook.imagepipeline.memory.CloseableReferences,class,4,14,1
C:\oodass1\projects\fresco\imagepipeline-base\src\main\java\com\facebook\cache\disk\DefaultDiskStorage.java,com.facebook.cache.disk.DefaultDiskStorage$InserterImpl,innerclass,14,65,12
C:\oodass1\projects\fresco\imagepipeline-base\src\main\java\com\facebook\imagepipeline\image\ImageInfo.java,com.facebook.imagepipeline.image.ImageInfo,interface,2,8,4
C:\oodass1\projects\fresco\fbcore\src\main\java\com\facebook\common\internal\Supplier.java,com.facebook.common.internal.Supplier,interface,2,3,1
C:\oodass1\projects\fresco\samples\scrollperf\src\main\java\com\facebook\samples\scrollperf\conf\Const.java,com.facebook.samples.scrollperf.conf.Const,class,1,38,0
C:\oodass1\projects\fresco\imagepipeline\src\main\java\com\facebook\imagepipeline\producers\ProducerListener.java,com.facebook.imagepipeline.producers.ProducerListener,interface,1,9,7
C:\oodass1\projects\fresco\fbcore\src\main\java\com\facebook\common\references\CloseableReference.java,com.facebook.common.references.CloseableReference$Anonymous2,anonymous,3,9,3
C:\oodass1\projects\fresco\fbcore\src\main\java\com\facebook\common\references\CloseableReference.java,com.facebook.common.references.CloseableReference$Anonymous1,anonymous,1,9,2
C:\oodass1\projects\fresco\imagepipeline-base-test\src\main\java\com\facebook\imagepipeline\testing\DeltaQueue.java,com.facebook.imagepipeline.testing.DeltaQueue$Node,innerclass,3,9,1
C:\oodass1\projects\fresco\samples\comparison\src\main\java\com\facebook\samples\comparison\MainActivity.java,com.facebook.samples.comparison.MainActivity,class,33,335,63
C:\oodass1\projects\fresco\animated-base\src\main\java\com\facebook\imagepipeline\animated\impl\AnimatedFrameCache.java,com.facebook.imagepipeline.animated.impl.AnimatedFrameCache,class,10,91,13
C:\oodass1\projects\fresco\imagepipeline-base\src\main\java\com\facebook\imagepipeline\cache\CountingMemoryCache.java,com.facebook.imagepipeline.cache.CountingMemoryCache,interface,12,39,10
C:\oodass1\projects\fresco\imagepipeline\src\main\java\com\facebook\imagepipeline\producers\LocalThumbnailBitmapSdk29Producer.java,com.facebook.imagepipeline.producers.LocalThumbnailBitmapSdk29Producer$Anonymous1,anonymous,11,64,20
C:\oodass1\projects\fresco\imagepipeline\src\main\java\com\facebook\imagepipeline\producers\LocalThumbnailBitmapSdk29Producer.java,com.facebook.imagepipeline.producers.LocalThumbnailBitmapSdk29Producer$Anonymous2,anonymous,0,5,1
C:\oodass1\projects\fresco\imagepipeline-base\src\main\java\com\facebook\cache\disk\EntryEvictionComparator.java,com.facebook.cache.disk.EntryEvictionComparator,interface,2,2,0
C:\oodass1\projects\fresco\fbcore\src\main\java\com\facebook\common\logging\FLogDefaultLoggingDelegate.java,com.facebook.common.logging.FLogDefaultLoggingDelegate,class,3,84,27
C:\oodass1\projects\fresco\samples\comparison\src\main\java\com\facebook\samples\comparison\urlsfetcher\ImageUrlsFetcher.java,com.facebook.samples.comparison.urlsfetcher.ImageUrlsFetcher,class,9,91,15
C:\oodass1\projects\fresco\samples\scrollperf\src\main\java\com\facebook\samples\scrollperf\util\TimeWaster.java,com.facebook.samples.scrollperf.util.TimeWaster,class,2,10,2
C:\oodass1\projects\fresco\fbcore\src\test\java\com\facebook\common\streams\LimitedInputStreamTest.java,com.facebook.common.streams.LimitedInputStreamTest,class,6,101,15
C:\oodass1\projects\fresco\samples\showcase\src\main\java\com\facebook\fresco\samples\showcase\imageformat\svg\SvgDecoderExample.java,com.facebook.fresco.samples.showcase.imageformat.svg.SvgDecoderExample$SvgDecoder,innerclass,7,12,2
C:\oodass1\projects\fresco\fbcore\src\test\java\com\facebook\common\util\HashCodeUtilTest.java,com.facebook.common.util.HashCodeUtilTest,class,5,20,4
C:\oodass1\projects\fresco\imagepipeline\src\test\java\com\facebook\imagepipeline\core\ProducerSequenceFactoryTest.java,com.facebook.imagepipeline.core.ProducerSequenceFactoryTest$DummyProducer,innerclass,5,4,1
C:\oodass1\projects\fresco\samples\showcase\src\main\java\com\facebook\fresco\samples\showcase\imagepipeline\ImagePipelinePostProcessorFragment.java,com.facebook.fresco.samples.showcase.imagepipeline.ImagePipelinePostProcessorFragment,class,30,80,5
C:\oodass1\projects\fresco\samples\showcase\src\main\java\com\facebook\fresco\samples\showcase\vito\ImageLayersFragment.java,com.facebook.fresco.samples.showcase.vito.ImageLayersFragment,class,13,62,4
